x1neg,y1neg,x1pos,y1pos,x2neg,y2neg,x2pos,y2pos,x3neg,y3neg,x3pos,y3pos,x4neg,y4neg,x4pos,y4pos,x5neg,y5neg,x5pos,y5pos,x6neg,y6neg,x6pos,y6pos,
-2.31,1100,0.04,1544,-2.9,1100,0.04,1540,-3.52,1100,0.05,1536,-4.07,1100,0.04,1532,-4.59,1100,0.05,1532,-5.04,1100,0.06,1532,0.02
-2.3,1104,0.05,1548,-2.92,1104,0.05,1544,-3.5,1104,0.06,1540,-4.05,1104,0.05,1536,-4.54,1104,0.07,1536,-4.96,1104,0.09,1536,0.03
-2.29,1108,0.07,1552,-2.89,1108,0.07,1548,-3.49,1108,0.08,1544,-4.02,1108,0.08,1540,-4.53,1108,0.09,1540,-4.92,1108,0.11,1540,0.06
-2.28,1112,0.08,1556,-2.83,1112,0.1,1552,-3.45,1112,0.1,1548,-3.96,1112,0.1,1544,-4.48,1112,0.12,1544,-4.84,1112,0.15,1544,0.06
-2.22,1116,0.09,1560,-2.79,1116,0.11,1556,-3.4,1116,0.12,1552,-3.9,1116,0.13,1548,-4.42,1116,0.15,1548,-4.79,1116,0.18,1548,0.03
-2.18,1120,0.11,1564,-2.76,1120,0.13,1560,-3.36,1120,0.15,1556,-3.87,1120,0.15,1552,-4.35,1120,0.18,1552,-4.74,1120,0.21,1552,0.05
-2.16,1124,0.13,1568,-2.72,1124,0.15,1564,-3.29,1124,0.18,1560,-3.82,1124,0.18,1556,-4.34,1124,0.21,1556,-4.68,1124,0.25,1556,0.02
-2.13,1128,0.15,1572,-2.67,1128,0.18,1568,-3.25,1128,0.2,1564,-3.8,1128,0.22,1560,-4.27,1128,0.25,1560,-4.58,1128,0.29,1560,0.05
-2.11,1132,0.16,1576,-2.6,1132,0.2,1572,-3.19,1132,0.23,1568,-3.75,1132,0.25,1564,-4.18,1132,0.29,1564,-4.46,1132,0.32,1564,0.04
-2.05,1136,0.18,1580,-2.59,1136,0.22,1576,-3.14,1136,0.26,1572,-3.71,1136,0.29,1568,-4.11,1136,0.32,1568,-4.4,1136,0.36,1568,0.05
-2.04,1140,0.2,1584,-2.56,1140,0.25,1580,-3.1,1140,0.29,1576,-3.66,1140,0.32,1572,-4.04,1140,0.36,1572,-4.35,1140,0.39,1572,0.07
-1.99,1144,0.22,1588,-2.49,1144,0.28,1584,-3.06,1144,0.33,1580,-3.59,1144,0.36,1576,-3.99,1144,0.39,1576,-4.23,1144,0.43,1576,0.07
-1.95,1148,0.24,1592,-2.44,1148,0.31,1588,-3,1148,0.36,1584,-3.52,1148,0.4,1580,-3.91,1148,0.43,1580,-4.16,1148,0.47,1580,0.07
-1.93,1152,0.26,1596,-2.43,1152,0.33,1592,-2.94,1152,0.39,1588,-3.45,1152,0.44,1584,-3.86,1152,0.47,1584,-4.12,1152,0.5,1584,0.05
-1.89,1156,0.29,1600,-2.39,1156,0.37,1596,-2.88,1156,0.43,1592,-3.4,1156,0.47,1588,-3.81,1156,0.51,1588,-4.02,1156,0.54,1588,0.09
-1.84,1160,0.31,1604,-2.34,1160,0.39,1600,-2.85,1160,0.46,1596,-3.31,1160,0.51,1592,-3.71,1160,0.55,1592,-3.96,1160,0.57,1592,0.06
-1.81,1164,0.34,1608,-2.3,1164,0.43,1604,-2.78,1164,0.5,1600,-3.25,1164,0.56,1596,-3.68,1164,0.59,1596,-3.89,1164,0.61,1596,0.05
-1.79,1168,0.36,1612,-2.25,1168,0.46,1608,-2.76,1168,0.53,1604,-3.2,1168,0.6,1600,-3.56,1168,0.63,1600,-3.81,1168,0.64,1600,0.09
-1.76,1172,0.39,1616,-2.23,1172,0.49,1612,-2.69,1172,0.58,1608,-3.11,1172,0.64,1604,-3.54,1172,0.67,1604,-3.71,1172,0.66,1604,0.07
-1.71,1176,0.41,1620,-2.18,1176,0.52,1616,-2.64,1176,0.62,1612,-3.04,1176,0.68,1608,-3.42,1176,0.7,1608,-3.66,1176,0.7,1608,0.05
-1.68,1180,0.44,1624,-2.14,1180,0.55,1620,-2.59,1180,0.64,1616,-2.99,1180,0.72,1612,-3.36,1180,0.76,1612,-3.56,1180,0.74,1612,0.05
-1.65,1184,0.47,1628,-2.1,1184,0.59,1624,-2.53,1184,0.69,1620,-2.94,1184,0.78,1616,-3.27,1184,0.8,1616,-3.48,1184,0.78,1616,0.08
-1.62,1188,0.49,1632,-2.07,1188,0.63,1628,-2.49,1188,0.73,1624,-2.86,1188,0.82,1620,-3.19,1188,0.84,1620,-3.36,1188,0.82,1620,0.04
-1.59,1192,0.52,1636,-2.01,1192,0.65,1632,-2.45,1192,0.77,1628,-2.82,1192,0.87,1624,-3.09,1192,0.88,1624,-3.29,1192,0.86,1624,0.05
-1.56,1196,0.55,1640,-1.98,1196,0.68,1636,-2.41,1196,0.83,1632,-2.77,1196,0.91,1628,-3.03,1196,0.92,1628,-3.16,1196,0.89,1628,0.06
-1.54,1200,0.58,1644,-1.95,1200,0.71,1640,-2.35,1200,0.85,1636,-2.71,1200,0.95,1632,-2.96,1200,0.97,1632,-3.13,1200,0.93,1632,0.05
-1.5,1204,0.61,1648,-1.88,1204,0.76,1644,-2.34,1204,0.89,1640,-2.66,1204,0.99,1636,-2.88,1204,1.02,1636,-3,1204,0.98,1636,0.08
-1.47,1208,0.64,1652,-1.85,1208,0.79,1648,-2.26,1208,0.92,1644,-2.58,1208,1.03,1640,-2.84,1208,1.08,1640,-2.94,1208,1.02,1640,0.03
-1.44,1212,0.68,1656,-1.81,1212,0.83,1652,-2.2,1212,0.97,1648,-2.55,1212,1.1,1644,-2.78,1212,1.13,1644,-2.87,1212,1.06,1644,0.04
-1.41,1216,0.7,1660,-1.78,1216,0.86,1656,-2.18,1216,1,1652,-2.51,1216,1.14,1648,-2.7,1216,1.18,1648,-2.78,1216,1.12,1648,0.06
-1.36,1220,0.73,1664,-1.73,1220,0.89,1660,-2.12,1220,1.05,1656,-2.45,1220,1.18,1652,-2.66,1220,1.22,1652,-2.74,1220,1.17,1652,0.07
-1.33,1224,0.76,1668,-1.66,1224,0.93,1664,-2.05,1224,1.09,1660,-2.38,1224,1.24,1656,-2.59,1224,1.28,1656,-2.67,1224,1.22,1656,0.03
-1.32,1228,0.8,1672,-1.65,1228,0.97,1668,-2.03,1228,1.14,1664,-2.35,1228,1.28,1660,-2.53,1228,1.32,1660,-2.6,1228,1.28,1660,0.07
-1.29,1232,0.83,1676,-1.61,1232,1,1672,-1.99,1232,1.2,1668,-2.28,1232,1.33,1664,-2.48,1232,1.38,1664,-2.54,1232,1.31,1664,0.04
-1.26,1236,0.85,1680,-1.56,1236,1.04,1676,-1.91,1236,1.23,1672,-2.24,1236,1.39,1668,-2.42,1236,1.42,1668,-2.5,1236,1.38,1668,0.04
