, Force (Kg f), PWM (µs)
0,-2.309539266666666,1100
1,-2.30424736,1104
2,-2.29517552,1108
3,-2.28156776,1112
4,-2.2226008,1116
5,-2.18177752,1120
6,-2.1636338399999997,1124
7,-2.1318824,1128
8,-2.1092028000000003,1132
9,-2.05477176,1136
10,-2.041164,1140
11,-1.9867329599999999,1144
12,-1.9549815199999998,1148
13,-1.927766,1152
14,-1.8914786399999999,1156
15,-1.8370476,1160
16,-1.80983208,1164
17,-1.7916884,1168
18,-1.75540104,1172
19,-1.7145777599999998,1176
20,-1.68282632,1180
21,-1.6510748800000001,1184
22,-1.6193234399999998,1188
23,-1.59210792,1192
24,-1.5558205600000001,1196
25,-1.53767688,1200
26,-1.50138952,1204
27,-1.4696380800000002,1208
28,-1.44242256,1212
29,-1.41067112,1216
30,-1.360776,1220
31,-1.3290245600000001,1224
32,-1.31995272,1228
33,-1.28820128,1232
34,-1.25644984,1236
35,-1.22016248,1240
36,-1.18841104,1244
37,-1.1657314399999998,1248
38,-1.13851592,1252
39,-1.09769264,1256
40,-1.07501304,1260
41,-1.05686936,1264
42,-1.0160460800000002,1268
43,-0.98883056,1272
44,-0.97068688,1276
45,-0.9298635999999999,1280
46,-0.907184,1284
47,-0.8799684799999999,1288
48,-0.8527529599999999,1292
49,-0.8255374400000001,1296
50,-0.79832192,1300
51,-0.78017824,1304
52,-0.75296272,1308
53,-0.72121128,1312
54,-0.69853168,1316
55,-0.6713161599999999,1320
56,-0.6531724799999999,1324
57,-0.6304928799999999,1328
58,-0.6123492,1332
59,-0.58059776,1336
60,-0.55338224,1340
61,-0.53070264,1344
62,-0.5125589599999999,1348
63,-0.48534344,1352
64,-0.46719976,1356
65,-0.44452016,1360
66,-0.42184056000000003,1364
67,-0.39916096,1368
68,-0.38101727999999996,1372
69,-0.35380176,1376
70,-0.33565807999999997,1380
71,-0.31297847999999995,1384
72,-0.2948348,1388
73,-0.27669112,1392
74,-0.24947560000000002,1396
75,-0.23586784,1400
76,-0.21318823999999997,1404
77,-0.19958048,1408
78,-0.1814368,1412
79,-0.16329311999999999,1416
80,-0.15422128000000002,1420
81,-0.1360776,1424
82,-0.11793392,1428
83,-0.09979024,1432
84,-0.08618248,1436
85,-0.07257472,1440
86,-0.06350288000000001,1444
87,-0.05443104,1448
88,-0.0453592,1452
89,-0.031751440000000006,1456
90,0.0,1460
91,0.0,1464
92,0.0,1468
93,0.0,1472
94,0.0,1476
95,0.0,1480
96,0.0,1484
97,0.0,1488
98,0.0,1492
99,0.0,1496
100,0.0,1500
101,0.0,1504
102,0.0,1508
103,0.0,1512
104,0.0,1516
105,0.0,1520
106,0.0,1524
107,0.0,1528
108,0.0,1532
109,0.0,1536
110,0.0,1540
111,0.040823279999999997,1544
112,0.05443104000000001,1548
113,0.06803880000000001,1552
114,0.07711064000000001,1556
115,0.0907184,1560
116,0.10886208000000001,1564
117,0.12700576,1568
118,0.14514944,1572
119,0.16329311999999999,1576
120,0.18143679999999998,1580
121,0.20411639999999998,1584
122,0.22226008,1588
123,0.24493968000000002,1592
124,0.26308336,1596
125,0.29029888,1600
126,0.31297847999999995,1604
127,0.33565807999999997,1608
128,0.36287359999999996,1612
129,0.3855532,1616
130,0.41276872000000003,1620
131,0.44452016,1624
132,0.46719976,1628
133,0.49441528,1632
134,0.5216308,1636
135,0.54884632,1640
136,0.58059776,1644
137,0.60781328,1648
138,0.63956472,1652
139,0.68492392,1656
140,0.7030676,1660
141,0.7257472,1664
142,0.7620345599999999,1668
143,0.79832192,1672
144,0.8255374400000001,1676
145,0.8527529599999999,1680
146,0.88904032,1684
147,0.9207917599999998,1688
148,0.9480072799999999,1692
149,0.9752228,1696
150,0.97068688,1700
151,1.04779752,1704
152,1.07501304,1708
153,1.1113004,1712
154,1.1657314399999998,1716
155,1.18387512,1720
156,1.20655472,1724
157,1.23830616,1728
158,1.27459352,1732
159,1.31088088,1736
160,1.3562400799999998,1740
161,1.41067112,1744
162,1.4288148,1748
163,1.4787099199999998,1752
164,1.5240691199999998,1756
165,1.54674872,1760
166,1.57850016,1764
167,1.62385936,1768
168,1.6556108,1772
169,1.69189816,1776
170,1.72818552,1780
171,1.77354472,1784
172,1.80076024,1788
173,1.84611944,1792
174,1.8778708800000001,1796
175,1.9141582400000003,1800
176,1.9912688800000002,1804
177,1.9958048000000002,1808
178,2.05930768,1812
179,2.09105912,1816
180,2.1228105600000005,1820
181,2.16816976,1824
182,2.2135289600000005,1828
183,2.2724959200000003,1832
184,2.30424736,1836
185,2.3632143200000004,1840
186,2.40857352,1844
187,2.45393272,1848
188,2.4811482400000004,1852
189,2.5537229600000004,1856
190,2.5809384800000004,1860
191,2.61722584,1864
192,2.6489772800000004,1868
193,2.68526464,1872
194,2.73515976,1876
195,2.77144712,1880
196,2.8213422400000003,1884
197,2.87577328,1888
198,2.8939169600000003,1892
199,2.9165965600000003,1896
200,2.9256684,1900
