, Force (Kg f), Current (A)
0,-2.9037447866666666,17.031666666666666
1,-2.91659656,17.08
2,-2.89391696,16.76
3,-2.83041408,16.52
4,-2.7850548799999997,16.08
5,-2.76237528,15.69
6,-2.721552,15.31
7,-2.67165688,15.0
8,-2.59908216,14.51
9,-2.5945462399999997,14.17
10,-2.5627948000000003,13.82
11,-2.4947559999999998,13.46
12,-2.44032496,13.08
13,-2.43125312,12.8
14,-2.38589392,12.4
15,-2.34053472,12.0
16,-2.30424736,11.66
17,-2.25435224,11.31
18,-2.22713672,11.1
19,-2.18177752,10.74
20,-2.1409542399999997,10.5
21,-2.09559504,10.11
22,-2.0683795199999997,9.84
23,-2.00941256,9.5
24,-1.98219704,9.2
25,-1.94590968,8.9
26,-1.8824068,8.6
27,-1.84611944,8.3
28,-1.80529616,8.0
29,-1.77808064,7.7
30,-1.73272144,7.4
31,-1.6646826399999999,7.1
32,-1.6510748800000001,6.9
33,-1.6102516,6.6
34,-1.56035648,6.4
35,-1.5331409599999999,6.2
36,-1.49231768,5.99
37,-1.4696380800000002,5.77
38,-1.4378866399999999,5.5
39,-1.39706336,5.32
40,-1.36984784,5.17
41,-1.33356048,4.9
42,-1.2927372,4.7
43,-1.27912944,4.56
44,-1.22016248,4.3
45,-1.19294696,4.1
46,-1.15212368,3.9
47,-1.1158363199999999,3.73
48,-1.08408488,3.6
49,-1.0432616,3.4
50,-1.020582,3.3
51,-0.9933664799999999,3.1
52,-0.9616150400000001,2.98
53,-0.9298635999999999,2.8
54,-0.90264808,2.7
55,-0.87089664,2.41
56,-0.83460928,2.3
57,-0.793786,2.1
58,-0.7711064,2.0
59,-0.7393549599999999,1.9
60,-0.72121128,1.8
61,-0.69399576,1.7
62,-0.6577084,1.6
63,-0.63956472,1.5
64,-0.60327736,1.31
65,-0.57152592,1.3
66,-0.5443104,1.2
67,-0.5170948799999999,1.1
68,-0.49441528,1.0
69,-0.47173568,0.9
70,-0.43998423999999997,0.8
71,-0.41730464,0.8
72,-0.39008912,0.7
73,-0.36740952000000004,0.6
74,-0.340194,0.5
75,-0.3175144,0.5
76,-0.2948348,0.41
77,-0.26761927999999996,0.4
78,-0.24493968000000002,0.4
79,-0.226796,0.3
80,-0.2041164,0.29
81,-0.17690088,0.2
82,-0.16329311999999999,0.2
83,-0.14514944,0.2
84,-0.12246984000000001,0.1
85,-0.10886208,0.1
86,-0.0907184,0.1
87,-0.07257472,0.05
88,-0.05896696,0.05
89,-0.0453592,0.05
90,-0.03628736,0.05
91,0.0,0.0
92,0.0,0.0
93,0.0,0.0
94,0.0,0.0
95,0.0,0.0
96,0.0,0.0
97,0.0,0.0
98,0.0,0.0
99,0.0,0.0
100,0.0,0.0
101,0.0,0.0
102,0.0,0.0
103,0.0,0.0
104,0.0,0.0
105,0.0,0.0
106,0.0,0.0
107,0.0,0.0
108,0.0,0.0
109,0.0,0.0
110,0.040823279999999997,0.05
111,0.05443104,0.05
112,0.07257472,0.05
113,0.09525432,0.1
114,0.113398,0.1
115,0.13154168000000002,0.1
116,0.15422128000000002,0.1
117,0.17690088,0.2
118,0.19958048,0.2
119,0.22226008,0.2
120,0.25401152000000005,0.3
121,0.27669112,0.3
122,0.30844256000000003,0.4
123,0.33112216,0.4
124,0.36740952000000004,0.5
125,0.39462504,0.5
126,0.42637648,0.6
127,0.45812792,0.7
128,0.48987936000000004,0.7
129,0.5170948799999999,0.8
130,0.54884632,0.8
131,0.5896696,1.0
132,0.62595696,1.0
133,0.6531724799999999,1.1
134,0.68492392,1.2
135,0.7121394400000001,1.3
136,0.75749864,1.4
137,0.78925008,1.5
138,0.83007336,1.6
139,0.8572888799999999,1.7
140,0.89357624,1.8
141,0.9298635999999999,2.0
142,0.9661509599999999,2.1
143,1.00243832,2.2
144,1.0387256799999998,2.3
145,1.0840848799999998,2.5
146,1.13851592,2.8
147,1.1611955199999997,2.9
148,1.19748288,3.0
149,1.23377024,3.2
150,1.27912944,3.3
151,1.3108808799999998,3.5
152,1.35170416,3.67
153,1.40159928,3.8
154,1.4333507199999997,4.0
155,1.4832458399999997,4.2
156,1.5286050399999997,4.4
157,1.5648924,4.6
158,1.6329311999999998,4.8
159,1.67375448,5.0
160,1.7100418399999997,5.2
161,1.7690088,5.4
162,1.81890392,5.69
163,1.8461194399999996,5.8
164,1.9050864,6.0
165,1.9232300800000002,6.3
166,1.96405336,6.5
167,2.03209216,6.7
168,2.0865232,7.0
169,2.1318824,7.2
170,2.1772416,7.5
171,2.2362085599999997,7.8
172,2.27249592,8.0
173,2.3314628799999997,8.32
174,2.39950168,8.64
175,2.46300456,8.9
176,2.5083637599999995,9.24
177,2.5627948,9.5
178,2.6172258399999997,9.82
179,2.6535132,10.14
180,2.7124801599999997,10.45
181,2.77598304,10.72
182,2.84402184,11.1
183,2.87123736,11.32
184,2.93020432,11.62
185,3.00731496,12.01
186,3.0436023199999998,12.37
187,3.0844256,12.61
188,3.15700032,13.04
189,3.22503912,13.44
190,3.2613264799999997,13.7
191,3.3157575199999996,14.11
192,3.3792604,14.4
193,3.4019399999999997,14.76
194,3.4472992,15.13
195,3.5017302399999997,15.52
196,3.56976904,15.87
197,3.63780784,16.3
198,3.70584664,16.74
199,3.69223888,16.86
200,3.7141624933333337,16.911666666666665
