, Force (Kg f), Power (W)
0,-4.59035104,507.86999999999995
1,-4.54499184,502.38
2,-4.5313840800000005,491.58
3,-4.47695304,479.16
4,-4.41798608,468.71999999999997
5,-4.34994728,456.84
6,-4.34541136,446.40000000000003
7,-4.16851048,432.54
8,-4.18211824,423.54
9,-4.1050075999999995,410.04
10,-4.0369688,399.78000000000003
11,-3.9916095999999994,387.0
12,-3.9144989599999995,370.98
13,-3.8600679199999997,363.06000000000006
14,-3.8101728,351.18
15,-3.7149184799999997,339.3
16,-3.6831670399999994,328.14
17,-3.55616128,316.26
18,-3.54255352,308.16
19,-3.4246195999999998,294.12
20,-3.3565807999999997,284.40000000000003
21,-3.2658624,273.42
22,-3.19328768,264.42
23,-3.0934974399999997,254.88
24,-3.02999456,246.24
25,-2.9574198399999996,238.85999999999999
26,-2.8803091999999997,230.94
27,-2.84402184,222.48
28,-2.77598304,215.82
29,-2.6988724,208.44
30,-2.65804912,203.76
31,-2.5854744,198.0
32,-2.5265074399999996,191.70000000000002
33,-2.47661232,184.85999999999999
34,-2.4221812799999998,179.46
35,-2.36321432,171.9
36,-2.31785512,165.6
37,-2.25435224,159.66
38,-2.20899304,153.71999999999997
39,-2.15909792,147.42
40,-2.1092028,139.85999999999999
41,-2.041164,133.01999999999998
42,-1.9958047999999997,126.0
43,-1.9413737599999996,119.7
44,-1.8824067999999998,113.39999999999999
45,-1.814368,108.0
46,-1.7599369599999999,103.5
47,-1.7191136799999998,99.0
48,-1.6601467199999997,94.14000000000001
49,-1.6102516,90.0
50,-1.5648924,86.22
51,-1.5195332,82.62
52,-1.46510216,77.39999999999999
53,-1.42427888,73.8
54,-1.3789196799999999,70.2
55,-1.32902456,66.24000000000001
56,-1.2745935199999998,61.199999999999996
57,-1.2246983999999999,59.4
58,-1.17480328,55.800000000000004
59,-1.13398,52.199999999999996
60,-1.0840848799999998,49.14
61,-1.0477975199999998,45.0
62,-1.01151016,41.4
63,-0.9706868799999998,38.52
64,-0.9343995199999998,36.0
65,-0.89357624,34.199999999999996
66,-0.8572888799999999,31.68
67,-0.81192968,28.8
68,-0.7711064,27.0
69,-0.73935496,25.2
70,-0.69853168,23.400000000000002
71,-0.6713161599999999,21.599999999999998
72,-0.6350288,19.8
73,-0.5987414400000001,18.0
74,-0.5579181599999999,14.4
75,-0.53070264,14.4
76,-0.49441528,12.6
77,-0.46266384,11.34
78,-0.4309124,9.540000000000001
79,-0.39916096,9.0
80,-0.36740952000000004,7.2
81,-0.33565807999999997,7.2
82,-0.30390664,5.3999999999999995
83,-0.2721552,5.3999999999999995
84,-0.24040376000000002,3.6
85,-0.20865232,3.6
86,-0.1814368,3.6
87,-0.15422128000000002,1.8
88,-0.12700576000000002,1.8
89,-0.10432616,1.8
90,-0.07711064000000001,0.9
91,-0.05896696,0.9
92,-0.045359199999999995,0.9
93,0.0,0.0
94,0.0,0.0
95,0.0,0.0
96,0.0,0.0
97,0.0,0.0
98,0.0,0.0
99,0.0,0.0
100,0.0,0.0
101,0.0,0.0
102,0.0,0.0
103,0.0,0.0
104,0.0,0.0
105,0.0,0.0
106,0.0,0.0
107,0.0,0.0
108,0.045359199999999995,0.9
109,0.06803880000000001,0.9
110,0.0907184,0.9
111,0.12246984000000001,1.8
112,0.14968536000000002,1.8
113,0.1814368,1.8
114,0.21318824,3.6
115,0.24947560000000002,3.6
116,0.28576296,3.6
117,0.3175144,5.3999999999999995
118,0.35833768,5.3999999999999995
119,0.39008912,7.2
120,0.42637648,7.2
121,0.47173568,9.0
122,0.5080230400000001,9.0
123,0.54884632,10.799999999999999
124,0.58513368,12.6
125,0.62595696,14.4
126,0.66678024,15.84
127,0.69853168,18.0
128,0.75749864,18.0
129,0.80285784,21.599999999999998
130,0.8391452,23.400000000000002
131,0.8799684799999999,24.839999999999996
132,0.9162558399999998,27.0
133,0.9661509599999999,28.8
134,1.01604608,30.599999999999998
135,1.0750130399999998,32.94
136,1.13398,36.0
137,1.1793391999999998,37.800000000000004
138,1.2246983999999999,41.4
139,1.27912944,44.46
140,1.3199527199999999,48.6
141,1.3834556,52.199999999999996
142,1.42427888,55.26
143,1.4877817599999998,58.32000000000001
144,1.5376768799999998,61.199999999999996
145,1.5966438399999998,64.8
146,1.6782903999999998,68.39999999999999
147,1.74179328,73.26
148,1.78715248,77.22
149,1.8415835199999997,81.35999999999999
150,1.9186941599999998,84.96
151,1.9731252,89.64000000000001
152,2.0366280800000003,93.60000000000001
153,2.08198728,98.46
154,2.17270568,102.60000000000001
155,2.21806488,107.46
156,2.2815677599999997,112.5
157,2.36321432,117.89999999999999
158,2.4312531199999996,123.66
159,2.5038278399999996,131.04
160,2.5854744,137.51999999999998
161,2.64444136,144.0
162,2.7442316,151.20000000000002
163,2.79412672,158.4
164,2.8667014399999995,164.70000000000002
165,2.9256684,170.64000000000001
166,3.01185088,178.20000000000002
167,3.10256928,183.6
168,3.1479284799999996,189.54
169,3.20689544,194.58
170,3.2658624,201.24
171,3.39286816,208.44
172,3.45637104,213.84
173,3.5380176,221.21999999999997
174,3.628736,226.62
175,3.7239903199999995,236.16
176,3.7920291199999996,243.0
177,3.9235708000000002,252.71999999999997
178,4.01882512,260.82
179,4.14129496,271.62
180,4.20933376,279.90000000000003
181,4.31819584,290.52
182,4.4089142400000005,299.88
183,4.53592,311.76
184,4.66746168,322.02
185,4.6946772,332.09999999999997
186,4.86250624,346.86
187,4.91693728,354.96
188,5.01672752,366.84
189,5.121053679999999,378.54
190,5.20723616,388.8
191,5.29341864,401.21999999999997
192,5.38413704,411.66
193,5.49753504,423.90000000000003
194,5.59732528,436.14
195,5.66536408,445.86
196,5.76969024,458.64
197,5.82412128,468.71999999999997
198,5.896696,481.32
199,5.98287848,489.96
200,6.016141893333334,496.26
